,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,Karonga,88,MW,1594787333,71,-9.93,33.93,64.62,4.34
1,Yellowknife,90,CA,1594787136,93,62.46,-114.35,55.4,18.34
2,East London,53,ZA,1594787334,57,-33.02,27.91,51.8,8.05
3,Los Llanos de Aridane,1,ES,1594787334,73,28.66,-17.92,71.6,13.87
4,Ushuaia,90,AR,1594787299,92,-54.8,-68.3,30.2,4.7
5,San Patricio,40,MX,1594787335,86,19.22,-104.7,81.03,7.87
6,Örnsköldsvik,100,SE,1594787335,93,63.29,18.72,51.8,3.36
7,Kavieng,100,PG,1594787335,61,-2.57,150.8,85.21,4.18
8,Avarua,56,CK,1594787227,64,-21.21,-159.78,69.8,6.93
9,Kendari,75,ID,1594787335,76,-3.94,122.5,82.76,1.3
10,Harper,72,LR,1594787336,79,4.38,-7.72,73.33,7.83
11,Okhotsk,11,RU,1594787336,64,59.38,143.3,69.78,7.61
12,Mackay,8,AU,1594787336,49,-21.15,149.2,72.0,14.99
13,Yara,18,CU,1594787336,91,20.28,-76.95,76.91,3.31
14,Busselton,82,AU,1594787092,82,-33.65,115.33,55.99,11.01
15,Bintulu,40,MY,1594787337,79,3.17,113.03,86.0,4.7
16,Korla,29,CN,1594787337,16,41.76,86.15,87.4,3.51
17,Jamestown,1,US,1594787337,87,42.1,-79.24,62.01,1.19
18,Albany,53,US,1594786581,75,42.6,-73.97,69.01,2.93
19,Mildura,70,AU,1594787338,51,-34.2,142.15,61.0,6.93
20,Provideniya,90,RU,1594787338,93,64.38,-173.3,48.2,8.95
21,Punta Arenas,88,CL,1594787057,91,-53.15,-70.92,32.0,5.82
22,Nikolskoye,96,RU,1594787338,82,59.7,30.79,60.01,4.47
23,Henties Bay,0,NA,1594787339,37,-22.12,14.28,63.39,6.69
24,Ambilobe,3,MG,1594787339,80,-13.2,49.05,67.35,2.84
25,Hobart,75,AU,1594787056,76,-42.88,147.33,52.0,4.7
26,Monteagudo,100,BO,1594787339,88,-19.82,-63.98,57.74,3.71
27,Castro,6,BR,1594787190,94,-24.79,-50.01,49.51,4.92
28,Kaitangata,28,NZ,1594787340,78,-46.28,169.85,45.0,4.0
29,Barrow,90,US,1594787315,86,71.29,-156.79,37.4,13.87
30,Saint-Philippe,18,RE,1594787340,68,-21.36,55.77,73.4,8.05
31,Bredasdorp,0,ZA,1594787341,81,-34.53,20.04,42.8,3.36
32,Rikitea,100,PF,1594786875,86,-23.12,-134.97,72.55,9.4
33,Rawlins,1,US,1594787341,25,41.79,-107.24,62.6,10.33
34,Carnarvon,90,AU,1594787097,49,-24.87,113.63,73.4,10.29
35,Hilo,90,US,1594787061,69,19.73,-155.09,78.8,5.82
36,Lata,0,PT,1594787342,81,40.16,-8.33,71.01,6.13
37,Kasempa,0,ZM,1594787342,54,-13.46,25.83,46.69,4.41
38,Vaini,75,TO,1594787342,78,-21.2,-175.2,73.4,10.29
39,Ponta Delgada,40,PT,1594787343,82,37.73,-25.67,66.2,6.93
40,Cabo San Lucas,5,MX,1594787264,33,22.89,-109.91,91.4,6.93
41,Kieta,100,PG,1594787343,74,-6.22,155.63,82.92,2.73
42,Tucuruí,5,BR,1594787343,87,-3.77,-49.67,72.41,1.39
43,Byron Bay,0,AU,1594787318,40,-28.65,153.62,70.0,14.99
44,Atuona,11,PF,1594787344,75,-9.8,-139.03,79.72,19.46
45,Hermanus,0,ZA,1594786875,95,-34.42,19.23,37.0,11.3
46,Padang,25,ID,1594787344,59,-0.95,100.35,86.07,3.67
47,Kenai,1,US,1594787344,52,60.55,-151.26,71.6,9.17
48,Faanui,1,PF,1594787344,83,-16.48,-151.75,77.72,13.44
49,Kavaratti,90,IN,1594787345,83,10.57,72.64,82.4,13.87
50,Mataura,5,NZ,1594787345,78,-46.19,168.86,46.11,3.71
51,Guerrero Negro,0,MX,1594787345,85,27.98,-114.06,68.49,13.96
52,Esperance,0,AU,1594787345,67,-33.87,121.9,59.0,12.75
53,Kapaa,40,US,1594787345,78,22.08,-159.32,80.6,12.75
54,Cervo,100,ES,1594787346,93,43.67,-7.41,57.0,3.0
55,Bariloche,90,AR,1594787244,86,-41.15,-71.31,35.6,4.7
56,Yao,75,JP,1594787346,74,34.62,135.6,78.8,11.41
57,Tanete,28,ID,1594787346,62,-3.94,119.78,85.95,13.35
58,Bondo,37,CD,1594787346,98,3.81,23.69,66.27,1.45
59,Tubualá,20,PA,1594787347,94,9.52,-79.03,75.2,1.79
60,Avera,1,US,1594787037,88,33.19,-82.53,77.0,3.85
61,Gharavŭtí,20,TJ,1594787347,31,37.57,68.45,91.4,4.47
62,Upernavik,100,GL,1594787347,81,72.79,-56.15,42.67,8.79
63,Weinan,40,CN,1594787347,78,34.5,109.51,80.01,4.47
64,Pekalongan,92,ID,1594787348,66,-6.89,109.68,73.0,4.18
65,Lavrentiya,100,RU,1594787348,94,65.58,-171.0,43.61,6.73
66,Ingham,1,US,1594787349,88,42.6,-84.38,73.4,3.36
67,Katsuura,100,JP,1594787349,88,35.13,140.3,73.0,3.0
68,Atar,0,MR,1594787349,29,20.52,-13.05,85.44,6.6
69,Saskylakh,54,RU,1594787349,56,71.92,114.08,75.13,13.13
70,Monção,34,PT,1594787350,72,42.08,-8.48,69.01,5.82
71,Bluff,0,NZ,1594787350,76,-46.6,168.33,47.52,11.61
72,Atasū,54,KZ,1594787350,40,48.68,71.64,79.68,13.87
73,Zhigansk,66,RU,1594787350,42,66.77,123.37,73.02,9.86
74,Talnakh,90,RU,1594787351,93,69.49,88.4,50.0,11.18
75,Marawi,25,PH,1594787351,78,8.0,124.29,84.99,7.0
76,Torbay,90,CA,1594787351,100,47.67,-52.73,51.01,14.99
77,Zabid,100,YE,1594787351,61,14.2,43.32,89.02,7.83
78,Henderson,1,US,1594787352,5,36.04,-114.98,99.0,5.82
79,Comodoro Rivadavia,30,AR,1594787352,75,-45.87,-67.5,32.0,4.7
80,Chui,0,UY,1594787352,83,-33.7,-53.46,36.01,5.93
81,Wattegama,40,LK,1594787352,94,6.8,81.48,84.2,10.29
82,Dikson,88,RU,1594787352,92,73.51,80.55,39.88,13.76
83,Chapais,1,CA,1594787210,68,49.78,-74.85,64.4,9.17
84,Nandu,52,CN,1594787353,42,22.85,110.82,93.99,6.49
85,Touros,20,BR,1594787353,94,-5.2,-35.46,73.4,2.24
86,Severo-Kuril'sk,85,RU,1594787353,80,50.68,156.12,55.71,10.83
87,Altay,89,CN,1594787354,36,47.87,88.12,73.65,3.69
88,Qaanaaq,100,GL,1594787354,83,77.48,-69.36,40.33,8.66
89,Morón,0,AR,1594787354,61,-34.65,-58.62,45.0,3.85
90,Butaritari,99,KI,1594787355,74,3.07,172.79,80.19,8.52
91,Gazli,40,UZ,1594787355,16,40.13,63.45,93.51,14.92
92,Bilibino,95,RU,1594787355,57,68.05,166.44,63.48,0.6
93,Nara,75,JP,1594787243,74,34.69,135.8,78.8,11.41
94,Sechura,81,PE,1594787355,83,-5.56,-80.82,64.47,11.3
95,Ende,52,ID,1594787174,56,-8.84,121.66,83.7,6.6
96,Port Elizabeth,65,ZA,1594787356,75,-33.92,25.57,46.4,9.17
97,Cabedelo,14,BR,1594787356,84,-6.98,-34.83,73.56,10.63
98,Broken Hill,1,AU,1594787315,44,-31.95,141.43,59.0,8.05
99,Port Alfred,91,ZA,1594787356,69,-33.59,26.89,51.08,13.98
100,Lola,100,GN,1594787357,95,7.8,-8.53,67.37,5.86
101,Sandpoint,1,US,1594787357,63,48.28,-116.55,66.0,3.09
102,Poum,32,NC,1594787357,83,-20.23,164.02,72.77,12.88
103,Iqaluit,20,CA,1594787210,76,63.75,-68.51,50.0,3.36
104,Puerto Ayora,90,EC,1594787357,93,-0.74,-90.35,66.99,5.99
105,Deputatsky,85,RU,1594787358,47,69.3,139.9,58.33,10.13
106,Bethel,1,US,1594787358,93,41.37,-73.41,66.99,4.94
107,Kruisfontein,0,ZA,1594787358,78,-34.0,24.73,40.77,6.91
108,Hithadhoo,47,MV,1594787358,70,-0.6,73.08,83.53,2.3
109,Yangi Marg`ilon,0,UZ,1594787359,28,40.43,71.72,86.0,4.7
110,Corn Island,87,NI,1594787359,82,12.17,-83.04,82.04,20.71
111,Hualmay,46,PE,1594787359,87,-11.1,-77.61,60.66,7.99
112,Princeville,90,CA,1594787360,93,45.77,-61.3,60.01,5.82
113,Cidreira,0,BR,1594787360,73,-30.18,-50.21,43.7,9.37
114,New Norfolk,100,AU,1594787360,85,-42.78,147.06,52.0,2.15
115,Ribeira Grande,0,PT,1594787360,79,38.52,-28.7,69.01,3.85
116,Lagoa,0,PT,1594787361,80,39.05,-27.98,68.49,4.83
117,Lima,90,PE,1594787252,93,-12.04,-77.03,59.0,9.17
118,Cape Town,0,ZA,1594787199,81,-33.93,18.42,44.6,8.05
119,Tuktoyaktuk,90,CA,1594787361,76,69.45,-133.04,53.6,11.41
120,Pevek,33,RU,1594787361,75,69.7,170.31,42.98,6.73
121,Mahébourg,40,MU,1594787362,83,-20.41,57.7,73.4,14.99
122,Tamandaré,3,BR,1594787362,84,-8.76,-35.1,73.94,7.43
123,Kiryat Gat,0,IL,1594787362,68,31.61,34.76,73.0,1.25
124,São Filipe,36,CV,1594787362,85,14.9,-24.5,76.62,11.12
125,Bathsheba,20,BB,1594787362,78,13.22,-59.52,80.6,11.41
126,Kasongo,51,CD,1594787363,80,-4.45,26.67,69.1,2.08
127,Prince Rupert,90,CA,1594787363,100,54.32,-130.32,55.4,6.93
128,Basco,24,PH,1594787363,74,20.45,121.97,85.66,13.98
129,Rypefjord,0,NO,1594787363,71,70.63,23.67,53.6,8.05
130,Ostrovnoy,100,RU,1594787364,79,68.05,39.51,47.77,8.01
131,Pangnirtung,66,CA,1594787364,56,66.15,-65.71,54.05,8.16
132,Goranboy,10,AZ,1594787364,57,40.61,46.79,80.6,2.24
133,Meulaboh,59,ID,1594787285,66,4.14,96.13,85.96,2.82
134,Bolgatanga,100,GH,1594787365,84,10.79,-0.85,74.73,6.51
135,Planeta Rica,47,CO,1594787365,90,8.41,-75.59,73.29,6.33
136,Sāveh,0,IR,1594787365,37,35.02,50.36,80.58,4.56
137,San Miguel de Cozumel,20,MX,1594787365,88,20.51,-86.95,84.0,3.36
138,Novo Aripuanã,64,BR,1594787366,70,-5.12,-60.38,77.32,1.63
139,Vanimo,16,PG,1594787366,67,-2.67,141.3,85.64,10.2
140,Key Largo,78,US,1594787366,1,25.09,-80.45,84.99,1.77
141,Meiktila,4,MM,1594787366,64,20.87,95.87,85.91,14.72
142,Yaring,40,TH,1594787367,70,6.87,101.37,87.8,3.36
143,Assiniboia,68,CA,1594787264,56,49.63,-105.98,60.75,9.6
144,Solnechnyy,29,RU,1594787367,52,50.72,136.63,82.29,6.08
145,Dubai,0,AE,1594786640,63,25.26,55.3,93.2,5.82
146,Saint Paul Harbor,1,US,1594787368,35,57.79,-152.41,73.4,10.29
147,Mount Barker,37,AU,1594787368,58,-35.07,138.87,61.0,4.0
148,Jizan,0,SA,1594787368,59,17.33,42.67,91.4,9.17
149,Nouna,53,BF,1594787368,80,12.73,-3.87,76.73,12.12
150,Puerto Ayacucho,84,VE,1594787369,92,5.66,-67.62,73.96,3.38
151,Olafsvik,100,IS,1594787369,88,64.89,-23.71,51.17,4.99
152,Fort Nelson,75,CA,1594787183,53,58.81,-122.7,71.6,2.24
153,Vestmannaeyjar,99,IS,1594787370,91,63.44,-20.27,52.65,5.88
154,Dukat,100,RU,1594787370,80,62.55,155.55,56.91,4.34
155,Tasiilaq,33,GL,1594787370,86,65.61,-37.64,41.0,3.36
156,Thompson,90,CA,1594787370,87,55.74,-97.86,60.8,8.05
157,Lufilufi,75,WS,1594787371,94,-13.87,-171.6,80.6,5.82
158,Khandyga,0,RU,1594787371,35,62.67,135.6,79.23,11.21
159,Geraldton,40,AU,1594787371,60,-28.77,114.6,68.0,12.75
160,Flinders,99,AU,1594787371,69,-34.58,150.86,60.01,8.99
161,Turan,20,VN,1594787372,59,16.07,108.22,93.2,6.93
162,Angoche,18,MZ,1594787372,81,-16.23,39.91,67.28,5.03
163,Tiksi,0,RU,1594786875,73,71.69,128.87,42.53,11.41
164,Crestline,5,US,1594787373,44,34.24,-117.29,78.8,11.41
165,Panzhihua,98,CN,1594787373,51,26.59,101.71,85.98,3.56
166,Bambous Virieux,40,MU,1594787373,83,-20.34,57.76,75.0,14.99
167,Tabou,94,CI,1594787373,81,4.42,-7.35,73.06,7.9
168,Coquimbo,90,CL,1594787374,93,-29.95,-71.34,50.0,4.7
169,Sitka,90,US,1594787374,82,57.05,-135.33,55.4,13.87
170,Melito di Porto Salvo,20,IT,1594787374,88,37.92,15.77,73.4,4.76
171,Dunedin,57,NZ,1594787374,76,-45.87,170.5,48.99,5.61
172,Maniitsoq,29,GL,1594787374,79,65.42,-52.9,44.33,7.23
173,Huaura,42,PE,1594787375,86,-11.07,-77.6,60.55,7.25
174,Navalmoral de la Mata,3,ES,1594787375,64,39.89,-5.54,64.99,8.37
175,Odda,85,NO,1594787375,94,60.07,6.55,55.99,2.62
176,Bad Reichenhall,75,DE,1594787376,82,47.73,12.88,57.2,4.7
177,Bara,95,NG,1594787376,92,10.37,10.73,72.07,9.57
178,Arraial do Cabo,98,BR,1594787376,78,-22.97,-42.03,68.65,13.44
179,Virton,100,BE,1594787377,64,49.57,5.53,59.0,4.34
180,Constitución,0,CL,1594787377,71,-35.33,-72.42,52.52,4.63
181,Chokurdakh,100,RU,1594787377,65,70.63,147.92,42.35,13.04
182,Lebu,0,CL,1594787377,77,-37.62,-73.65,50.38,4.27
183,Sola,75,VU,1594787378,70,-13.88,167.55,86.0,5.82
184,Port Lincoln,7,AU,1594787378,52,-34.73,135.87,60.94,14.67
185,Ilhabela,98,BR,1594787378,83,-23.78,-45.36,64.85,5.32
186,Saint George,1,US,1594787378,14,37.1,-113.58,93.0,5.82
187,Codrington,17,AU,1594787378,69,-38.27,141.97,54.91,5.46
188,Vila,33,PT,1594787379,72,42.03,-8.16,69.01,5.82
189,Wakkanai,75,JP,1594787379,82,45.41,141.67,62.6,12.75
190,Wanning,2,CN,1594787380,63,18.8,110.4,89.73,12.91
191,Oranjemund,0,NA,1594787380,51,-28.55,16.43,51.53,6.6
192,Bandarbeyla,100,SO,1594787380,55,9.49,50.81,83.32,30.22
193,Ilulissat,0,GL,1594787380,86,69.22,-51.1,39.2,3.4
194,Carballo,75,ES,1594787380,82,43.21,-8.69,62.6,9.17
195,San Luis,0,AR,1594787381,63,-33.3,-66.34,43.21,3.13
196,Dalbandin,0,PK,1594787381,23,28.89,64.41,94.39,3.27
197,Naples,20,IT,1594787381,68,40.83,14.25,70.0,3.36
198,Matagami,1,CA,1594787381,82,49.75,-77.63,59.0,2.24
199,Nome,90,US,1594787254,87,64.5,-165.41,51.8,6.93
200,Kumul,0,CN,1594787382,13,42.8,93.45,89.11,7.18
201,Kloulklubed,75,PW,1594787382,74,7.04,134.26,86.0,6.93
202,Fortuna,1,US,1594787383,87,40.6,-124.16,57.0,3.36
203,Cherskiy,0,RU,1594787383,62,68.75,161.3,46.72,19.8
204,Hambantota,40,LK,1594787383,94,6.12,81.12,84.2,10.29
205,Znamenskoye,37,RU,1594787383,51,57.13,73.83,74.12,2.84
206,Marsá Maţrūḩ,0,EG,1594787383,73,31.35,27.25,75.2,5.82
207,Maragogi,7,BR,1594787384,83,-9.01,-35.22,73.38,6.98
208,Mnogovershinnyy,18,RU,1594787384,41,53.94,139.92,78.46,3.67
209,Dingle,24,PH,1594787384,64,11.0,122.67,88.74,7.16
210,Port Blair,74,IN,1594787385,75,11.67,92.75,84.22,12.24
211,Tamsweg,100,AT,1594787385,94,47.13,13.81,52.0,1.72
212,Portland,1,US,1594787177,44,45.52,-122.68,75.99,10.29
213,Formosa,0,AR,1594787385,66,-26.18,-58.18,48.2,6.93
214,Necochea,4,AR,1594787385,91,-38.55,-58.74,33.01,1.99
215,Shiyan,100,CN,1594787201,90,32.65,110.78,69.8,2.28
216,Nouadhibou,75,MR,1594787386,77,20.93,-17.03,69.8,16.11
217,Johnstown,1,US,1594787386,60,40.33,-78.92,68.0,3.36
218,Port-Gentil,96,GA,1594787387,83,-0.72,8.78,73.36,10.27
219,Kirakira,94,SB,1594787387,78,-10.45,161.92,82.54,10.25
220,Honningsvåg,90,NO,1594787387,93,70.98,25.97,44.6,2.24
221,Adrar,53,MR,1594787387,23,20.5,-10.07,93.47,9.69
222,Khatanga,100,RU,1594787387,79,71.97,102.5,59.41,10.47
223,Qaqortoq,100,GL,1594787388,87,60.72,-46.03,44.6,5.82
224,Caculé,88,BR,1594787388,76,-14.5,-42.22,64.44,2.51
225,Changde,81,CN,1594787108,86,29.05,111.68,80.1,4.59
226,Vilhena,37,BR,1594787388,61,-12.74,-60.15,70.34,1.03
227,Cayenne,75,GF,1594787388,100,4.93,-52.33,77.0,2.24
228,Haining,75,CN,1594787389,94,30.54,120.69,75.0,8.95
229,Moyale,100,KE,1594787389,84,3.52,39.06,64.69,12.24
230,Kapit,89,MY,1594787389,55,2.02,112.93,90.43,0.87
231,Klimovo,100,RU,1594787389,91,52.38,32.19,53.31,15.46
232,Puerto del Rosario,8,ES,1594787390,64,28.5,-13.86,75.2,16.11
233,Barabai,56,ID,1594787390,83,-2.58,115.38,83.03,1.41
234,Maraã,51,BR,1594787390,97,-1.83,-65.37,73.04,1.07
235,Yamada,100,JP,1594787390,89,39.47,141.95,62.65,8.79
236,Karlstad,100,SE,1594787391,100,59.38,13.5,57.99,3.36
237,Severo-Yeniseyskiy,90,RU,1594787391,60,60.37,93.04,55.31,12.15
238,Anadyr,40,RU,1594787391,82,64.75,177.48,55.4,11.18
239,Hirara,40,JP,1594787391,70,24.8,125.28,91.4,20.8
240,Awjilah,0,LY,1594787391,61,29.11,21.29,73.35,8.88
241,Champerico,87,GT,1594787392,78,14.3,-91.92,80.55,9.19
242,Nelson Bay,75,AU,1594787392,62,-32.72,152.15,60.01,18.34
243,Oddur,99,SO,1594787392,70,4.12,43.89,72.16,19.35
244,Laas,40,IT,1594787392,100,46.62,10.7,55.0,3.36
245,Mariehamn,75,AX,1594787393,82,60.1,19.93,60.8,10.29
246,Caravelas,4,BR,1594787393,94,-17.71,-39.25,70.02,2.77
247,Lorengau,70,PG,1594787393,67,-2.02,147.27,85.42,7.43
248,Raudeberg,40,NO,1594787393,100,61.99,5.14,53.6,4.7
249,Ketchikan,90,US,1594787393,93,55.34,-131.65,57.2,11.41
250,Launceston,100,AU,1594787394,71,-41.45,147.17,54.0,12.75
251,Delmas,0,ZA,1594787394,74,-26.15,28.68,30.2,6.93
252,Bay Roberts,100,CA,1594787394,1,47.6,-53.26,51.01,14.47
253,The Pas,1,CA,1594787394,82,53.83,-101.25,59.0,14.99
254,Periyanayakkanpalaiyam,75,IN,1594787385,78,11.15,76.93,78.8,6.93
255,Cockburn Town,8,TC,1594787395,82,21.46,-71.14,81.82,18.7
256,Norman Wells,75,CA,1594787395,49,65.28,-126.83,69.8,5.82
257,Olinda,75,BR,1594787395,88,-8.01,-34.86,73.4,10.04
258,Klaksvík,86,FO,1594787395,93,62.23,-6.59,48.2,5.82
259,Hurghada,0,EG,1594787396,36,27.26,33.81,80.6,3.36
260,Dhidhdhoo,100,MV,1594787396,74,6.88,73.1,83.7,11.1
261,Mar del Plata,0,AR,1594786875,74,-38.0,-57.56,39.99,3.36
262,Calama,0,CL,1594787396,5,-22.47,-68.93,46.4,19.46
263,Santa María del Oro,0,MX,1594787397,24,25.93,-105.37,77.83,7.99
264,Karratha,93,AU,1594787205,27,-20.74,116.85,80.76,14.85
265,Ponta do Sol,0,PT,1594787397,40,32.67,-17.1,73.99,5.59
266,Lubango,0,AO,1594787397,42,-14.92,13.49,49.8,10.13
267,Inowrocław,0,PL,1594787397,87,52.8,18.26,57.0,4.7
268,Hasaki,75,JP,1594787398,88,35.73,140.83,72.0,9.17
